epoch,train_loss,val_loss,val_auc,epoch_seconds
1,0.09938854946123296,0.03977095873037068,0.9985943428332744,160.6676025390625
2,0.026786124339582218,0.022046636884179998,0.9995824327793013,158.87930274009705
3,0.015684407569606533,0.01999306645608916,0.999484695475218,158.45478558540344
4,0.011200353235507367,0.015720357225746058,0.9997248892020123,159.3906524181366
5,0.008507186141865172,0.015932993263006023,0.9997388081093691,160.72256636619568
6,0.006961145751910428,0.00995065911509383,0.9999284232714024,161.2792992591858
7,0.005841783053371278,0.00925880624631019,0.9999275955429524,166.87074661254883
8,0.004852650991064091,0.008598085763959724,0.9999476352843735,158.76158952713013
9,0.004466965246760212,0.009263712862734334,0.9998799358100943,155.92624592781067
10,0.004130123502487246,0.0078109644210712864,0.9999403164222893,156.1526346206665
11,0.003570669192503601,0.007305113486673947,0.9998960547325418,157.12950372695923
12,0.003183176376485969,0.007673890126883706,0.9999290767412313,156.83807396888733
13,0.0029247509012377097,0.011878448008259603,0.9999607046809526,157.33948421478271
14,0.003055595710494751,0.007137660426515692,0.9999259836507077,155.90701150894165
15,0.002365306598559858,0.010864010678321311,0.9998947913575391,155.56704998016357
16,0.002419434267364094,0.008807085901007757,0.9998142185276297,156.08184456825256
17,0.0021162866032862597,0.009347891828207621,0.999937789672284,156.52532076835632
18,0.0019749132495977366,0.00988651779550686,0.9999331282541708,159.17567825317383
19,0.0019523938550847742,0.008559838165939193,0.9999580036723262,158.55823302268982
20,0.0019061364609280875,0.005986390104122791,0.9998694149458484,158.16280364990234
