epoch,train_loss,val_loss,val_auc,epoch_seconds
1,0.09552295595987588,0.03355397008586837,0.9995166501498536,178.2271065711975
2,0.012420836721758526,0.008807208959263355,0.9999188390472445,180.146404504776
3,0.006891346660142145,0.005749616047230227,0.9999820949266869,179.47421026229858
4,0.0045155778832342225,0.005285606205279238,0.9999668908619999,178.29453539848328
5,0.0036113865298032424,0.0050712945780893234,0.999943060995571,178.85440325737
6,0.003017298830801149,0.0021755899264731503,0.9999819860150486,179.692875623703
7,0.0024800627523751647,0.0030481617018600707,0.9999886296249763,179.24266052246094
8,0.002194080406021367,0.002174349703972109,0.9999700928641618,180.8242630958557
9,0.001911751631966832,0.0031475597459517117,0.9999704631637315,183.11798644065857
10,0.0016205278340851875,0.002726300834181825,0.9999840117715184,181.79490971565247
11,0.001662469621638331,0.0060939372559964825,0.9999805483814249,181.3808090686798
12,0.001376006367786487,0.00124642177226012,0.999998518801721,181.35964608192444
13,0.001338517465223336,0.0020028128685378047,0.9999904593404974,180.01663041114807
14,0.001168627409000836,0.003785385156889042,0.9999507719395525,181.40631294250488
15,0.001059503104772409,0.001826623401624755,0.9999939445129183,179.94971990585327
16,0.001088419074111902,0.0024141044789629607,0.999997865331892,181.50533413887024
17,0.000984532256489214,0.004119694352902126,0.9999699186055406,181.3380947113037
18,0.0008407882477513755,0.0025139352667452562,0.9999930296551579,180.5165719985962
19,0.0009953796880074021,0.004615472140103677,0.9999816157154788,181.30093908309937
20,0.0008342296693996209,0.000590376630892068,0.9999998693060342,182.52169156074524
