epoch,train_loss,val_loss,val_auc,epoch_seconds
1,0.09725753955995646,0.03271862159747936,0.9990009317608468,185.75822925567627
2,0.02194568430365088,0.020689152375814413,0.9994873311368614,183.81814002990723
3,0.014742625745615945,0.02039790961455324,0.9996304845940567,182.27970695495605
4,0.012327401820772499,0.022215916039092433,0.9996875107277964,182.82852363586426
5,0.010216468341770757,0.007951302810794043,0.9999222370903551,183.2719211578369
6,0.008610321363049808,0.013796629317144682,0.9998615515255733,183.13386631011963
7,0.008461370139498514,0.00842884191615153,0.9999739919008078,184.47197890281677
8,0.006008489457482013,0.005408137658180911,0.9999833147370342,183.97339701652527
9,0.00828935916989333,0.00805663529462683,0.9999248945343261,183.88868355751038
10,0.005062463476559079,0.004641428178635024,0.9999909821163605,184.23508477210999
11,0.007639553170558637,0.02022176880390453,0.9997373486934176,183.2249596118927
12,0.004670871426823187,0.010245923268142235,0.999830816661285,183.9624547958374
13,0.00903908520481863,0.004573653267386991,0.9999832276077236,183.44201755523682
14,0.017052633093369178,0.0156704096579574,0.9997847470383441,184.54889845848083
15,0.07143312573995478,0.0182547626113615,0.9996257360466331,183.4482810497284
16,0.012575610689298257,0.031220750224105295,0.9994787488997747,183.70151162147522
17,0.012523619243408677,0.007561122126544812,0.9999702017758,184.41693115234375
18,0.013037912790452327,0.5543917804607714,0.7979461922487325,183.62696480751038
19,nan,nan,nan,213.28400421142578
