epoch,train_loss,val_loss,val_auc
1,0.6296751622157525,0.6250219939410514,0.5920211638837856
2,0.625869810606243,0.627997113735822,0.5838195729722787
3,0.6303712397452977,0.6339324873701931,0.5959197213186429
4,0.6395380163048836,0.6437432243950618,0.530444527643255
5,0.6493504703019123,0.6516024706506505,0.5003111387678905
6,0.6517660459540418,0.6517530934240046,0.5
7,0.6517755914659316,0.6517574490875182,0.5
8,0.6517739956286625,0.6517551295732734,0.5
9,0.6517757452064222,0.65175953482685,0.5
10,0.6517701029560388,0.651791244444221,0.5
11,0.6517703734148271,0.6517533764968885,0.5
12,0.6517709095814817,0.6517782418450566,0.5
13,0.6517739585534672,0.6517873680857447,0.5
14,0.6517747134432933,0.6517591729904726,0.5
15,0.6517733263156457,0.6517528096238713,0.5
16,0.6517684875577001,0.6517588110587181,0.5
17,0.6517713917307283,0.6517572123976466,0.5
18,0.6517719608801559,0.6517541429640973,0.5
19,0.6517670049371492,0.6517559076824335,0.5
20,0.651772880003487,0.6517535697485116,0.5
