dataset,study,architecture,trial_number,trial_state,validation_roc_auc,best_epoch,seed,configuration_source,parameters_json,resolved_config_json,validation_loss,validation_accuracy_0_5,validation_precision_0_5,validation_recall_0_5,validation_f1_0_5,validation_mcc_0_5,best_f1_threshold,trainable_parameter_count,training_seconds,gpu_peak_memory_bytes,pruned,failed,failure_reason,test_set_used,trial_directory
nocom,nocom_whole_image_cnn,whole_image_cnn,0,COMPLETE,0.9765734874001919,5,7,existing_config_adapted_to_search_interface,"{""batch_size"": 64, ""dropout"": 0.0, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_head"": ""symmetric_linear"", ""image_cnn_activation"": ""relu"", ""image_cnn_hidden_channels"": 32, ""image_cnn_kernel_size"": 3, ""image_cnn_layers"": 2, ""image_cnn_pooling"": ""mean"", ""learning_rate"": 0.001, ""remove_padding"": false, ""weight_decay"": 0.0}","{""activation"": ""relu"", ""architecture"": ""whole_image_cnn"", ""background"": ""black"", ""batch_size"": 64, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dataset"": ""nocom"", ""dropout"": 0.0, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_activation"": ""relu"", ""final_head"": ""symmetric_linear"", ""final_hidden_dim"": 128, ""final_hidden_ratio"": null, ""font"": ""DejaVu Sans"", ""image_cnn_activation"": ""relu"", ""image_cnn_hidden_channels"": 32, ""image_cnn_kernel_size"": 3, ""image_cnn_layers"": 2, ""image_cnn_pooling"": ""mean"", ""image_height"": 32, ""learning_rate"": 0.001, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""processor"": ""conv2d"", ""remove_padding"": false, ""seed"": 7, ""weight_decay"": 0.0}",0.22175280060133334,0.9058193849746983,0.9762154126828609,0.8748107780805329,0.9227354739817017,0.8110219792323521,0.3248361349105835,37569.0,243.01801861682907,576119808.0,False,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_nocom/v4_whole_image_cnn/whole_image_cnn/trials/trial_00000
nocom,nocom_whole_image_cnn,whole_image_cnn,1,COMPLETE,0.9914355111074813,5,7,optuna_sampled,"{""batch_size"": 128, ""dropout"": 0.1, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_head"": ""symmetric_linear"", ""image_cnn_activation"": ""relu"", ""image_cnn_hidden_channels"": 64, ""image_cnn_kernel_size"": 5, ""image_cnn_layers"": 3, ""image_cnn_pooling"": ""max"", ""learning_rate"": 0.0005018792957929306, ""remove_padding"": true, ""weight_decay"": 0.0}","{""activation"": ""relu"", ""architecture"": ""whole_image_cnn"", ""background"": ""black"", ""batch_size"": 128, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dataset"": ""nocom"", ""dropout"": 0.1, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_activation"": ""relu"", ""final_head"": ""symmetric_linear"", ""final_hidden_dim"": 128, ""final_hidden_ratio"": null, ""font"": ""DejaVu Sans"", ""image_cnn_activation"": ""relu"", ""image_cnn_hidden_channels"": 64, ""image_cnn_kernel_size"": 5, ""image_cnn_layers"": 3, ""image_cnn_pooling"": ""max"", ""image_height"": 32, ""learning_rate"": 0.0005018792957929306, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""processor"": ""conv2d"", ""remove_padding"": true, ""seed"": 7, ""weight_decay"": 0.0}",0.11546716805374915,0.9552160373686259,0.9670486670517069,0.9631547078413564,0.9650977596432417,0.9026416119864383,0.5399940609931946,309313.0,400.43129281001166,1751495168.0,False,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_nocom/v4_whole_image_cnn/whole_image_cnn/trials/trial_00001
nocom,nocom_whole_image_cnn,whole_image_cnn,2,COMPLETE,0.9789418627768827,5,7,optuna_sampled,"{""batch_size"": 128, ""dropout"": 0.2, ""early_stopping_patience"": 3, ""embedding_dim"": 64, ""final_activation"": ""relu"", ""final_head"": ""symmetric_mlp"", ""final_hidden_ratio"": 0.5, ""image_cnn_activation"": ""relu"", ""image_cnn_hidden_channels"": 64, ""image_cnn_kernel_size"": 5, ""image_cnn_layers"": 3, ""image_cnn_pooling"": ""max"", ""learning_rate"": 0.00023385535767570323, ""remove_padding"": true, ""weight_decay"": 0.0}","{""activation"": ""relu"", ""architecture"": ""whole_image_cnn"", ""background"": ""black"", ""batch_size"": 128, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dataset"": ""nocom"", ""dropout"": 0.2, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 64, ""final_activation"": ""relu"", ""final_head"": ""symmetric_mlp"", ""final_hidden_dim"": 32, ""final_hidden_ratio"": 0.5, ""font"": ""DejaVu Sans"", ""image_cnn_activation"": ""relu"", ""image_cnn_hidden_channels"": 64, ""image_cnn_kernel_size"": 5, ""image_cnn_layers"": 3, ""image_cnn_pooling"": ""max"", ""image_height"": 32, ""learning_rate"": 0.00023385535767570323, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""processor"": ""conv2d"", ""remove_padding"": true, ""seed"": 7, ""weight_decay"": 0.0}",0.18588120966813312,0.9258077072790969,0.9432073296523269,0.9412655161973963,0.9422354224754516,0.8385620969507555,0.5260169506072998,210753.0,389.6877250429243,1717580288.0,False,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_nocom/v4_whole_image_cnn/whole_image_cnn/trials/trial_00002
nocom,nocom_whole_image_cnn,whole_image_cnn,3,PRUNED,0.9822235602841444,2,7,optuna_sampled,"{""batch_size"": 128, ""dropout"": 0.1, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_activation"": ""gelu"", ""final_head"": ""symmetric_mlp"", ""final_hidden_ratio"": 2.0, ""image_cnn_activation"": ""relu"", ""image_cnn_hidden_channels"": 16, ""image_cnn_kernel_size"": 5, ""image_cnn_layers"": 2, ""image_cnn_pooling"": ""max"", ""learning_rate"": 0.0014820828274634545, ""remove_padding"": true, ""weight_decay"": 0.0}","{""activation"": ""relu"", ""architecture"": ""whole_image_cnn"", ""background"": ""black"", ""batch_size"": 128, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dataset"": ""nocom"", ""dropout"": 0.1, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_activation"": ""gelu"", ""final_head"": ""symmetric_mlp"", ""final_hidden_dim"": 256, ""final_hidden_ratio"": 2.0, ""font"": ""DejaVu Sans"", ""image_cnn_activation"": ""relu"", ""image_cnn_hidden_channels"": 16, ""image_cnn_kernel_size"": 5, ""image_cnn_layers"": 2, ""image_cnn_pooling"": ""max"", ""image_height"": 32, ""learning_rate"": 0.0014820828274634545, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""processor"": ""conv2d"", ""remove_padding"": true, ""seed"": 7, ""weight_decay"": 0.0}",,,,,,,,,,,True,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_nocom/v4_whole_image_cnn/whole_image_cnn/trials/trial_00003
nocom,nocom_whole_image_cnn,whole_image_cnn,4,COMPLETE,0.9878860914980272,5,7,optuna_sampled,"{""batch_size"": 128, ""dropout"": 0.0, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_head"": ""symmetric_linear"", ""image_cnn_activation"": ""gelu"", ""image_cnn_hidden_channels"": 64, ""image_cnn_kernel_size"": 5, ""image_cnn_layers"": 2, ""image_cnn_pooling"": ""max"", ""learning_rate"": 0.00017259964527010594, ""remove_padding"": false, ""weight_decay"": 0.0}","{""activation"": ""relu"", ""architecture"": ""whole_image_cnn"", ""background"": ""black"", ""batch_size"": 128, ""conv_kernel_size"": 3, ""conv_layers"": 2, ""dataset"": ""nocom"", ""dropout"": 0.0, ""early_stopping_min_delta"": 0.0001, ""early_stopping_patience"": 3, ""embedding_dim"": 128, ""final_activation"": ""relu"", ""final_head"": ""symmetric_linear"", ""final_hidden_dim"": 128, ""final_hidden_ratio"": null, ""font"": ""DejaVu Sans"", ""image_cnn_activation"": ""gelu"", ""image_cnn_hidden_channels"": 64, ""image_cnn_kernel_size"": 5, ""image_cnn_layers"": 2, ""image_cnn_pooling"": ""max"", ""image_height"": 32, ""learning_rate"": 0.00017259964527010594, ""max_epochs"": 5, ""num_workers"": 4, ""pair_symmetry"": ""shared_encoder_plus_symmetric_final_features"", ""processor"": ""conv2d"", ""remove_padding"": false, ""seed"": 7, ""weight_decay"": 0.0}",0.15336169833951815,0.9363954846243675,0.983840551437118,0.9161065697850439,0.9487661869375725,0.8690274659267134,0.2669628858566284,206849.0,423.8366197058931,1951057920.0,False,False,,False,/orcd/home/002/setliu22/Itau/synth_dataset/model_results/optuna_nocom/v4_whole_image_cnn/whole_image_cnn/trials/trial_00004
