run_name,best_val_auc,test_roc_auc,test_accuracy_0_5,test_precision_0_5,test_recall_0_5,test_f1_0_5,test_mcc_0_5,train_roc_auc,validation_roc_auc,trainable_parameter_count,average_epoch_seconds,best_epoch,total_epochs_completed,elapsed_seconds,metrics_path
conv1d_baseline,0.9989528581637637,0.9987967173320478,0.9864453492989108,0.9937509544607679,0.985109694140159,0.9894114570345998,0.9706547327836699,0.9999026746145827,0.9989528581637637,442626,153.73536158800124,19,20,3270.955594778061,model_results/mix65_sweep_best_strip_32_16_mean/conv1d_baseline/metrics.json
conv1d_bilstm,0.9908891493861655,0.9918212992230635,0.9604999883216679,0.957257997899482,0.9824210825900291,0.9696763223089865,0.9136958098001154,0.9915406622431941,0.9908891493861655,541954,156.0091551542282,19,20,3317.14052939415,model_results/mix65_sweep_best_strip_32_16_mean/conv1d_bilstm/metrics.json
conv1d_interaction_cnn_cosine,0.9997842896094637,0.9996996815239418,0.9974541236190373,0.9975498647888347,0.9984921975766163,0.998020808744757,0.9944544215370746,0.9999390288881362,0.9997842896094637,454497,154.21047043800354,5,20,3278.4484391212463,model_results/mix65_sweep_best_strip_32_16_mean/conv1d_interaction_cnn_cosine/metrics.json
conv1d_single_cross_attention,0.9990687183644366,0.9988241545515409,0.9887420879300546,0.9916606566020812,0.9908199659684754,0.9912401330336643,0.9754917669430121,0.9991785285489867,0.9990687183644366,608257,156.29319977760315,2,3,818.8983919620514,model_results/mix65_sweep_best_strip_32_16_mean/conv1d_single_cross_attention/metrics.json
conv1d_stacked_cross_attention,0.9999607046809526,0.9999038279741547,0.9971894147598546,0.9965451217965366,0.9990916852871183,0.9978167787507862,0.9938792803732759,0.9999954022121346,0.9999607046809526,840962,158.41952146291732,13,20,3368.0395426750183,model_results/mix65_sweep_best_strip_32_16_mean/conv1d_stacked_cross_attention/metrics.json
conv1d_transformer,0.8538248111864275,0.8125306833345061,0.8636165458608098,0.9951816216545383,0.7916810483162873,0.8818432918624142,0.7522633741281343,0.8120759384824716,0.8538248111864275,707586,158.5272765994072,20,20,3364.556096315384,model_results/mix65_sweep_best_strip_32_16_mean/conv1d_transformer/metrics.json
