epoch,train_loss,val_loss,val_auc
1,0.38998105978959213,0.26577420749760516,0.9648287508253323
2,0.28747052614454893,0.26688386827889105,0.9636366693810351
3,0.23050694770809652,0.2665860530900674,0.9600014602872444
4,0.22808248483078852,0.22994011651576668,0.9701048226596153
5,0.2661185999128938,0.3197976402243157,0.9436641046583338
6,0.24676672088962395,0.2540397328911501,0.9628899058428392
7,0.2375913578949259,0.25111912604760783,0.9635653104757138
8,0.20681443223549653,0.2006759972381692,0.9751499582563472
9,0.19154814065231437,0.24351982924804436,0.9654035428868764
10,0.18360417793867548,0.17586099995960175,0.9817476728196806
11,0.1773820626740902,0.18731058426726663,0.9789858697169361
12,0.16105169710734563,0.1628334856886353,0.9836519492482222
13,0.155680352160847,0.20318821844312235,0.9747130483287119
14,0.16988138265300481,0.18491239504929077,0.9794563026467967
15,0.16362884237670686,0.1918241482029463,0.9765233340135228
16,0.16101797020826428,0.17218342429549113,0.9813603176874068
17,0.15467693357547488,0.18670138771688477,0.9776903222163885
18,0.15169608830603398,0.15602793486485042,0.9835817012416102
19,0.1430856121926514,0.17489278383447965,0.9836179905994444
20,0.14492604211607685,0.15483732323254187,0.9844398378209868
