run_name,best_val_auc,test_roc_auc,test_accuracy_0_5,test_precision_0_5,test_recall_0_5,test_f1_0_5,test_mcc_0_5,train_roc_auc,validation_roc_auc,trainable_parameter_count,average_epoch_seconds,best_epoch,total_epochs_completed,elapsed_seconds,metrics_path
conv1d_baseline,0.998781169857371,0.9984700966874982,0.9855149755144306,0.9916664636077878,0.9857515698705954,0.9887001703629247,0.968563527061055,0.9997892514187053,0.998781169857371,246147,160.0687339901924,17,20,3404.622158765793,model_results/mix65_tuned_strip_v2/conv1d_baseline/metrics.json
conv1d_bilstm,0.9935529320145673,0.9942864368405935,0.9710572004702475,0.9696482388116595,0.9858363459104644,0.977675287278667,0.9368046375365777,0.9943261362682393,0.9935529320145673,345346,155.73358258008957,8,20,3310.191508769989,model_results/mix65_tuned_strip_v2/conv1d_bilstm/metrics.json
conv1d_interaction_cnn_cosine,0.9999168132907748,0.9998456303577036,0.9982443574192443,0.998975931357103,0.9982923683397824,0.9986340328740736,0.996178103649846,0.9999899720560523,0.9999168132907748,257889,154.70462495088577,10,20,3290.45321726799,model_results/mix65_tuned_strip_v2/conv1d_interaction_cnn_cosine/metrics.json
conv1d_single_cross_attention,0.9995670544559935,0.9995929390097578,0.9936469873796159,0.9920494008462182,0.9981167608286252,0.9950738321480748,0.9861669486124369,0.9998365210354646,0.9995670544559935,411649,159.50624136924745,10,20,3389.6927213668823,model_results/mix65_tuned_strip_v2/conv1d_single_cross_attention/metrics.json
conv1d_stacked_cross_attention,0.999974035465463,0.9999465997016541,0.9979368280093115,0.998395310673909,0.998395310673909,0.998395310673909,0.9955068698869451,0.999995500169537,0.999974035465463,644354,154.08322736024857,19,20,3277.0737919807434,model_results/mix65_tuned_strip_v2/conv1d_stacked_cross_attention/metrics.json
conv1d_transformer,0.9962861567034592,0.9966894461739815,0.9810110321309842,0.9778407227406899,0.9929635886908763,0.985344133447103,0.9586163645511391,0.9968982140782306,0.9962861567034592,511107,156.8498105287552,20,20,3332.9654183387756,model_results/mix65_tuned_strip_v2/conv1d_transformer/metrics.json
