epoch,train_loss,val_loss,val_auc,epoch_seconds
1,0.6519249982655276,0.6517596720445036,0.4966241095166641,157.00439596176147
2,0.6517916595573036,0.6517654647170478,0.5037330988741673,157.73101043701172
3,0.6517852486839707,0.65187324243899,0.5,158.46017718315125
4,0.6517860887704298,0.6518156039546711,0.5,157.3249056339264
5,0.6517901594845446,0.6517595713562293,0.5,155.1859004497528
6,0.6517894878130421,0.651754844777643,0.5,155.28394317626953
7,0.6517929975739314,0.6517678813488915,0.501352943933857,160.3755807876587
8,0.6517903150407957,0.6517758096369616,0.09700901195884637,160.67881155014038
9,0.6517915796848496,0.6517774035291847,0.1413178168810251,160.91476225852966
10,0.651791373383663,0.6518551523607484,0.2226426816519787,163.84889960289001
11,0.6517763047834167,0.6517556655739579,0.1829600510368649,162.0948567390442
12,0.6517894029313706,0.6517865271112396,0.4890779706259213,163.90871214866638
13,0.6222359399139904,0.5880935014766602,0.29923110997339597,166.42528915405273
14,0.5775741879271533,0.579071198514562,0.29836988030349576,156.5961935520172
15,0.5697643280375889,0.5740282982632522,0.3196138359254012,154.6676139831543
16,0.561545991215708,0.5474875914727417,0.41872355734337163,155.3970868587494
17,0.5414004839368589,0.5239163529802554,0.4521834126006758,154.44883608818054
18,0.4608151595949657,0.350407865771366,0.7992942787235278,157.15654873847961
19,0.3338634266214294,0.2786468606029037,0.844299900306643,155.86110019683838
20,0.29906210444593456,0.26072717430961406,0.8538248111864275,157.18090748786926
