run_name,best_val_auc,test_roc_auc,test_accuracy_0_5,test_precision_0_5,test_recall_0_5,test_f1_0_5,test_mcc_0_5,train_roc_auc,validation_roc_auc,trainable_parameter_count,average_epoch_seconds,best_epoch,total_epochs_completed,elapsed_seconds,metrics_path
conv1d_baseline,0.5959197213186429,0.5867065114054051,0.6428571428571429,0.6428571428571429,1.0,0.782608695652174,0.0,0.5864476412215323,0.5959197213186429,,,3,,4380.271548271179,model_results/mix65/conv1d_baseline/metrics.json
conv1d_bilstm,0.9957920028188074,0.9956066529946846,0.9755845005177394,0.9740405444921196,0.9883614608122756,0.9811487481590574,0.9467168710365358,0.9956785615480352,0.9957920028188074,,,7,,4589.400884151459,model_results/mix65/conv1d_bilstm/metrics.json
conv1d_interaction_cnn_cosine,0.9999999564353447,0.9999952070050815,0.9996146150432488,0.9996306701218183,0.9997698936060699,0.9997002770166967,0.9991606894419895,0.9999998915927109,0.9999999564353447,135009.0,177.56793265342714,15,20.0,3779.6073665618896,model_results/mix65/conv1d_interaction_cnn_cosine/metrics.json
conv1d_interaction_cnn_rich,0.9999998693060342,0.999996432512988,0.9993966195121572,0.9997818948490833,0.9992794036611138,0.9995305861011087,0.9986864826325766,0.9999998651662914,0.9999998693060342,135873.0,180.54825526475906,20,20.0,3843.1755781173706,model_results/mix65/conv1d_interaction_cnn_rich/metrics.json
conv1d_stacked_cross_attention,0.9999866256508341,0.9999643761170802,0.9983922829581994,0.998921761042863,0.9985769736164853,0.998749337572867,0.9964993491943689,0.9999796432687351,0.9999866256508341,,,18,,7496.09334731102,model_results/mix65/conv1d_stacked_cross_attention/metrics.json
conv1d_transformer,0.9844398378209868,0.9879727390437565,0.9484829846702428,0.9476463550476505,0.9736528178950109,0.9604735763737479,0.8872318557170725,0.9877389394297053,0.9844398378209868,,,20,,4337.86724114418,model_results/mix65/conv1d_transformer/metrics.json
