epoch,train_loss,val_loss,val_auc,epoch_seconds
1,0.26061062924523354,0.12106050499858814,0.9930144728755129,154.30997729301453
2,0.07952036793304125,0.07484025147707478,0.9961165159358638,154.38704800605774
3,0.05099792585553306,0.05799062765709268,0.9973479580461915,152.98705577850342
4,0.03779933673841248,0.049822835303848234,0.9978230959588207,153.50284934043884
5,0.02956933448172145,0.04969730247647585,0.9981065058236359,153.5947666168213
6,0.023590631722433423,0.045616523294982246,0.998238550293739,153.51302480697632
7,0.01942810707270776,0.05034495787433323,0.9981747716384337,154.30951166152954
8,0.01612282543518443,0.04389653558765437,0.9984781123330319,155.2642662525177
9,0.013778322998762998,0.04327600590535591,0.998499154061524,152.3376123905182
10,0.01175030981059029,0.047980768194380956,0.9985576613935426,152.7060956954956
11,0.01018667833761781,0.05472373231911626,0.9984367259105319,154.36596584320068
12,0.008996977062114898,0.04566552457745687,0.9987263655210498,153.84430384635925
13,0.007968977173459268,0.048296228240123286,0.9986968504671089,153.8098292350769
14,0.006998626662677023,0.04678622835517602,0.9988094433186369,153.97337794303894
15,0.006244154907190866,0.0439380618320922,0.9987704965168316,153.56535840034485
16,0.0055226918143799235,0.05518789398180756,0.9985834081048033,154.7195839881897
17,0.0050753354608056266,0.051604900866130676,0.9986985494886642,153.54586744308472
18,0.004553782142793728,0.05433086459079247,0.9987555320577487,153.79003715515137
19,0.004191164219335194,0.04612933825643727,0.9989528581637637,153.58277583122253
20,0.0038835149571094427,0.0532313386055276,0.9987956551052461,152.5979242324829
