epoch,train_loss,val_loss,val_auc
1,0.17391737425638337,0.07340504615941588,0.994990456726618
2,0.05603926597222759,0.05168947479044489,0.9962840002530237
3,0.04170710605744371,0.0586850043754689,0.9954560757620723
4,0.030758438377016493,0.03561083005015852,0.9983603570698552
5,0.02346447695026707,0.020056723313329174,0.999317167593403
6,0.017787812577174815,0.015909647723489052,0.9991744280004329
7,0.01590962433606785,0.01871506707862823,0.998873722967478
8,0.013975148942762573,0.017143224179859983,0.9994149266798138
9,0.011666146403241023,0.01013662314333237,0.9995160402446801
10,0.010224783540891852,0.01042584991823956,0.9996636590790398
11,0.009124970220991692,0.013617572067426064,0.9999488550947208
12,0.008113131086978555,0.013388568929505825,0.9994592972811994
13,0.009397183845183028,0.010933209986093118,0.9998361097668993
14,0.007860901837165245,0.013624892183075143,0.9998518366074497
15,0.00608060740966282,0.00920926711438256,0.9998050699500244
16,0.005600968943980683,0.006337496920803407,0.9999519481852445
17,0.0052254731680435465,0.007601995273189566,0.9999197974696603
18,0.0053771034917844815,0.004093563922580863,0.9999866256508341
19,0.005194609681506281,0.00621206266716754,0.9999844909827262
20,0.004392072992772293,0.0068058217479029185,0.999976997862021
