source_character,replacement_character,candidate_codepoint,unicode_name,glyph_similarity,area_ratio,source_identity_margin,closest_other_source,closest_other_similarity,font_path,font_size,canvas_size
h,𝗁,U+1D5C1,MATHEMATICAL SANS-SERIF SMALL H,1.0,1.0,0.2876631448978366,b,0.7123368551021634,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
i,і,U+0456,CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I,1.0,1.0,0.1887096273864287,l,0.8112903726135713,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
i,ⅰ,U+2170,SMALL ROMAN NUMERAL ONE,1.0,1.0,0.1887096273864287,l,0.8112903726135713,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
i,𝗂,U+1D5C2,MATHEMATICAL SANS-SERIF SMALL I,1.0,1.0,0.1887096273864287,l,0.8112903726135713,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
j,ϳ,U+03F3,GREEK LETTER YOT,1.0,1.0,0.4114223491890193,l,0.5885776508109807,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
j,ј,U+0458,CYRILLIC SMALL LETTER JE,1.0,1.0,0.4114223491890193,l,0.5885776508109807,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
j,𝗃,U+1D5C3,MATHEMATICAL SANS-SERIF SMALL J,1.0,1.0,0.4114223491890193,l,0.5885776508109807,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
k,𝗄,U+1D5C4,MATHEMATICAL SANS-SERIF SMALL K,0.9999998972398944,1.0,0.509795039130898,h,0.4902048581089964,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
l,ӏ,U+04CF,CYRILLIC SMALL LETTER PALOCHKA,1.0,1.0,0.1887096273864287,i,0.8112903726135713,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
l,ⅼ,U+217C,SMALL ROMAN NUMERAL FIFTY,1.0,1.0,0.1887096273864287,i,0.8112903726135713,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
l,ا,U+0627,ARABIC LETTER ALEF,0.9991151720091768,0.9991656900423668,0.18728975259457747,i,0.8118254194145993,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
l,ﺍ,U+FE8D,ARABIC LETTER ALEF ISOLATED FORM,0.9991151720091768,0.9991656900423668,0.18728975259457747,i,0.8118254194145993,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
l,𞸀,U+1EE00,ARABIC MATHEMATICAL ALEF,0.9991151720091768,0.9991656900423668,0.18728975259457747,i,0.8118254194145993,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
m,ⅿ,U+217F,SMALL ROMAN NUMERAL ONE THOUSAND,1.0,1.0,0.7946551598339009,w,0.20534484016609905,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
m,𝗆,U+1D5C6,MATHEMATICAL SANS-SERIF SMALL M,1.0,1.0,0.7946551598339009,w,0.20534484016609905,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
n,ո,U+0578,ARMENIAN SMALL LETTER VO,1.0,1.0,0.2770874078355796,u,0.7229125921644204,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
n,𝗇,U+1D5C7,MATHEMATICAL SANS-SERIF SMALL N,1.0,1.0,0.2770874078355796,u,0.7229125921644204,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
o,ο,U+03BF,GREEK SMALL LETTER OMICRON,1.0000001040862816,1.0,0.23955473928817728,e,0.7604453647981043,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
o,о,U+043E,CYRILLIC SMALL LETTER O,1.0000001040862816,1.0,0.23955473928817728,e,0.7604453647981043,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
o,ᴏ,U+1D0F,LATIN LETTER SMALL CAPITAL O,1.0000001040862816,1.0,0.23955473928817728,e,0.7604453647981043,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
o,𝗈,U+1D5C8,MATHEMATICAL SANS-SERIF SMALL O,1.0000001040862816,1.0,0.23955473928817728,e,0.7604453647981043,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
o,օ,U+0585,ARMENIAN SMALL LETTER OH,0.9988608729048535,0.9999975494000114,0.24233939930642145,e,0.756521473598432,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
p,р,U+0440,CYRILLIC SMALL LETTER ER,1.0,1.0,0.3457953466773822,q,0.6542046533226178,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
