run_name,best_val_auc,test_roc_auc,test_accuracy_0_5,test_precision_0_5,test_recall_0_5,test_f1_0_5,test_mcc_0_5,train_roc_auc,validation_roc_auc,trainable_parameter_count,average_epoch_seconds,best_epoch,total_epochs_completed,elapsed_seconds,metrics_path
conv1d_interaction_cnn_cosine,0.996974163525686,0.9948413930226234,0.9653036755603653,0.9824591743459249,0.9632253649911288,0.9727472030185079,0.925368479658507,0.9961353746558259,0.996974163525686,135009,152.40976618528367,18,20,3228.8016786575317,model_results/domains_spoof_no_com_original_params/conv1d_interaction_cnn_cosine/metrics.json
conv1d_single_cross_attention,0.989296892182072,0.9855012396095801,0.9383695491385283,0.9616709440029684,0.9416619737073167,0.9515612857431328,0.8672523489843595,0.9826261371199485,0.989296892182072,288769,154.51666375398636,20,20,3272.7646656036377,model_results/domains_spoof_no_com_original_params/conv1d_single_cross_attention/metrics.json
conv1d_stacked_cross_attention,0.9838453614540823,0.9788848098104909,0.9234407480360939,0.9554887594714759,0.9239498368061233,0.9394546702746966,0.836313946894601,0.9765145484566724,0.9838453614540823,521474,152.5242795586586,20,20,3231.7140431404114,model_results/domains_spoof_no_com_original_params/conv1d_stacked_cross_attention/metrics.json
