epoch,train_loss,val_loss,val_auc,epoch_seconds
1,0.2788564519081233,0.2269526920125103,0.9692902637433891,155.69826483726501
2,0.22581063137640112,0.2039032862918671,0.9734621073567833,153.46055030822754
3,0.2131849352474215,0.19937627655423165,0.9766404853650508,150.013277053833
4,0.20661577429507164,0.1975411580167145,0.9786141464988067,152.77737402915955
5,0.20327535852011971,0.19120784814996264,0.9787550818717359,152.42638039588928
6,0.20268463492840472,0.17650763514488296,0.9810825811890932,153.06176137924194
7,0.19969463236216492,0.17273591688028242,0.9805300845321858,151.78196358680725
8,0.2006257572421066,0.17634181067457733,0.9807472622114649,153.1148111820221
9,0.19638256213966906,0.17089240728370314,0.9810595297314556,153.76995301246643
10,0.19603769707196522,0.17027820654303336,0.9814773168806163,151.78291583061218
11,0.1959732494672756,0.19035177535122588,0.9793289446222202,152.81776094436646
12,0.19617725254741156,0.17053538604022092,0.9814049072719788,152.52755999565125
13,0.19599819890284698,0.1879035546488222,0.9791943638060024,151.54054713249207
14,0.19273993628134836,0.16906698758544603,0.9815258748342891,154.269380569458
15,0.19463227627141014,0.17112816615692136,0.9823965258236877,151.37398171424866
16,0.19461697907161954,0.1639847870615959,0.982483902422123,153.09184336662292
17,0.19116657942039555,0.1655070766754399,0.9818559900544548,151.16535902023315
18,0.18739665669222258,0.1669885894977522,0.983396306388132,152.16396975517273
19,0.18616357661381155,0.16614735542034165,0.9821830340017867,152.33257341384888
20,0.18955240716795807,0.1612986873366945,0.9838453614540823,151.3153636455536
