run_name,encoder_type,pooling,remove_padding,background,slice_width,stride,pad_to_width,num_epochs,max_samples,max_batches,best_val_auc,best_epoch,total_seconds,status,error
conv1d__sweep__attention__pad__black__sw32__st16,conv1d,attention,True,black,32,16,,5,,,nan,-1,1.7742388248443604,failed,"ValueError('Caught ValueError in DataLoader worker process 0.\nOriginal Traceback (most recent call last):\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/worker.py"", line 349, in _worker_loop\n    data = fetcher.fetch(index)  # type: ignore[possibly-undefined]\n           ^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/fetch.py"", line 52, in fetch\n    data = [self.dataset[idx] for idx in possibly_batched_index]\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/fetch.py"", line 52, in <listcomp>\n    data = [self.dataset[idx] for idx in possibly_batched_index]\n            ~~~~~~~~~~~~^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/training/dataset.py"", line 80, in __getitem__\n    process(name_a),\n    ^^^^^^^^^^^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/training/dataset.py"", line 70, in process\n    slices = slice_image(\n             ^^^^^^^^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/rendering/slicer.py"", line 53, in slice_image\n    return np.stack(slices, axis=0)\n           ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/numpy/core/shape_base.py"", line 445, in stack\n    raise ValueError(\'need at least one array to stack\')\nValueError: need at least one array to stack\n')"
conv1d__sweep__attention__pad__black__sw32__st32,conv1d,attention,True,black,32,32,,5,,,nan,-1,2.044692277908325,failed,"ValueError('Caught ValueError in DataLoader worker process 0.\nOriginal Traceback (most recent call last):\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/worker.py"", line 349, in _worker_loop\n    data = fetcher.fetch(index)  # type: ignore[possibly-undefined]\n           ^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/fetch.py"", line 52, in fetch\n    data = [self.dataset[idx] for idx in possibly_batched_index]\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/fetch.py"", line 52, in <listcomp>\n    data = [self.dataset[idx] for idx in possibly_batched_index]\n            ~~~~~~~~~~~~^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/training/dataset.py"", line 80, in __getitem__\n    process(name_a),\n    ^^^^^^^^^^^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/training/dataset.py"", line 70, in process\n    slices = slice_image(\n             ^^^^^^^^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/rendering/slicer.py"", line 53, in slice_image\n    return np.stack(slices, axis=0)\n           ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/numpy/core/shape_base.py"", line 445, in stack\n    raise ValueError(\'need at least one array to stack\')\nValueError: need at least one array to stack\n')"
conv1d__sweep__attention__pad__black__sw3__st1,conv1d,attention,True,black,3,1,,5,,,0.5844788586827059,1,1434.3966886997223,ok,
conv1d__sweep__attention__pad__black__sw3__st3,conv1d,attention,True,black,3,3,,5,,,0.9275079562129908,5,1123.4990859031677,ok,
conv1d__sweep__attention__pad__black__sw4__st2,conv1d,attention,True,black,4,2,,5,,,nan,-1,2.2444264888763428,failed,"ValueError('Caught ValueError in DataLoader worker process 3.\nOriginal Traceback (most recent call last):\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/worker.py"", line 349, in _worker_loop\n    data = fetcher.fetch(index)  # type: ignore[possibly-undefined]\n           ^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/fetch.py"", line 52, in fetch\n    data = [self.dataset[idx] for idx in possibly_batched_index]\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/fetch.py"", line 52, in <listcomp>\n    data = [self.dataset[idx] for idx in possibly_batched_index]\n            ~~~~~~~~~~~~^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/training/dataset.py"", line 80, in __getitem__\n    process(name_a),\n    ^^^^^^^^^^^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/training/dataset.py"", line 70, in process\n    slices = slice_image(\n             ^^^^^^^^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/rendering/slicer.py"", line 53, in slice_image\n    return np.stack(slices, axis=0)\n           ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/numpy/core/shape_base.py"", line 445, in stack\n    raise ValueError(\'need at least one array to stack\')\nValueError: need at least one array to stack\n')"
conv1d__sweep__attention__pad__black__sw4__st4,conv1d,attention,True,black,4,4,,5,,,nan,-1,2.234915256500244,failed,"ValueError('Caught ValueError in DataLoader worker process 3.\nOriginal Traceback (most recent call last):\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/worker.py"", line 349, in _worker_loop\n    data = fetcher.fetch(index)  # type: ignore[possibly-undefined]\n           ^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/fetch.py"", line 52, in fetch\n    data = [self.dataset[idx] for idx in possibly_batched_index]\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/fetch.py"", line 52, in <listcomp>\n    data = [self.dataset[idx] for idx in possibly_batched_index]\n            ~~~~~~~~~~~~^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/training/dataset.py"", line 80, in __getitem__\n    process(name_a),\n    ^^^^^^^^^^^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/training/dataset.py"", line 70, in process\n    slices = slice_image(\n             ^^^^^^^^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/rendering/slicer.py"", line 53, in slice_image\n    return np.stack(slices, axis=0)\n           ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/numpy/core/shape_base.py"", line 445, in stack\n    raise ValueError(\'need at least one array to stack\')\nValueError: need at least one array to stack\n')"
conv1d__sweep__attention__pad__black__sw6__st3,conv1d,attention,True,black,6,3,,5,,,nan,-1,2.227842330932617,failed,"ValueError('Caught ValueError in DataLoader worker process 3.\nOriginal Traceback (most recent call last):\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/worker.py"", line 349, in _worker_loop\n    data = fetcher.fetch(index)  # type: ignore[possibly-undefined]\n           ^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/fetch.py"", line 52, in fetch\n    data = [self.dataset[idx] for idx in possibly_batched_index]\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/fetch.py"", line 52, in <listcomp>\n    data = [self.dataset[idx] for idx in possibly_batched_index]\n            ~~~~~~~~~~~~^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/training/dataset.py"", line 80, in __getitem__\n    process(name_a),\n    ^^^^^^^^^^^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/training/dataset.py"", line 70, in process\n    slices = slice_image(\n             ^^^^^^^^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/rendering/slicer.py"", line 53, in slice_image\n    return np.stack(slices, axis=0)\n           ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/numpy/core/shape_base.py"", line 445, in stack\n    raise ValueError(\'need at least one array to stack\')\nValueError: need at least one array to stack\n')"
conv1d__sweep__attention__pad__black__sw6__st6,conv1d,attention,True,black,6,6,,5,,,nan,-1,2.2944953441619873,failed,"ValueError('Caught ValueError in DataLoader worker process 3.\nOriginal Traceback (most recent call last):\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/worker.py"", line 349, in _worker_loop\n    data = fetcher.fetch(index)  # type: ignore[possibly-undefined]\n           ^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/fetch.py"", line 52, in fetch\n    data = [self.dataset[idx] for idx in possibly_batched_index]\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/fetch.py"", line 52, in <listcomp>\n    data = [self.dataset[idx] for idx in possibly_batched_index]\n            ~~~~~~~~~~~~^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/training/dataset.py"", line 80, in __getitem__\n    process(name_a),\n    ^^^^^^^^^^^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/training/dataset.py"", line 70, in process\n    slices = slice_image(\n             ^^^^^^^^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/rendering/slicer.py"", line 53, in slice_image\n    return np.stack(slices, axis=0)\n           ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/numpy/core/shape_base.py"", line 445, in stack\n    raise ValueError(\'need at least one array to stack\')\nValueError: need at least one array to stack\n')"
conv1d__sweep__attention__pad__black__sw8__st4,conv1d,attention,True,black,8,4,,5,,,nan,-1,2.2161521911621094,failed,"ValueError('Caught ValueError in DataLoader worker process 3.\nOriginal Traceback (most recent call last):\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/worker.py"", line 349, in _worker_loop\n    data = fetcher.fetch(index)  # type: ignore[possibly-undefined]\n           ^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/fetch.py"", line 52, in fetch\n    data = [self.dataset[idx] for idx in possibly_batched_index]\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/fetch.py"", line 52, in <listcomp>\n    data = [self.dataset[idx] for idx in possibly_batched_index]\n            ~~~~~~~~~~~~^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/training/dataset.py"", line 80, in __getitem__\n    process(name_a),\n    ^^^^^^^^^^^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/training/dataset.py"", line 70, in process\n    slices = slice_image(\n             ^^^^^^^^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/rendering/slicer.py"", line 53, in slice_image\n    return np.stack(slices, axis=0)\n           ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/numpy/core/shape_base.py"", line 445, in stack\n    raise ValueError(\'need at least one array to stack\')\nValueError: need at least one array to stack\n')"
conv1d__sweep__attention__pad__black__sw8__st8,conv1d,attention,True,black,8,8,,5,,,nan,-1,2.2105166912078857,failed,"ValueError('Caught ValueError in DataLoader worker process 3.\nOriginal Traceback (most recent call last):\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/worker.py"", line 349, in _worker_loop\n    data = fetcher.fetch(index)  # type: ignore[possibly-undefined]\n           ^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/fetch.py"", line 52, in fetch\n    data = [self.dataset[idx] for idx in possibly_batched_index]\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/fetch.py"", line 52, in <listcomp>\n    data = [self.dataset[idx] for idx in possibly_batched_index]\n            ~~~~~~~~~~~~^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/training/dataset.py"", line 80, in __getitem__\n    process(name_a),\n    ^^^^^^^^^^^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/training/dataset.py"", line 70, in process\n    slices = slice_image(\n             ^^^^^^^^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/rendering/slicer.py"", line 53, in slice_image\n    return np.stack(slices, axis=0)\n           ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/numpy/core/shape_base.py"", line 445, in stack\n    raise ValueError(\'need at least one array to stack\')\nValueError: need at least one array to stack\n')"
