epoch,train_loss,val_loss,val_auc,epoch_seconds
1,0.22170852621376538,0.12984786379655036,0.9903551338419477,156.64140272140503
2,0.11652518805680184,0.1179315523341401,0.9905758759501669,154.82299160957336
3,0.10656909803156082,0.11788716128837205,0.9903388188785518,156.73981142044067
4,0.1098870138583744,0.12631894570730343,0.9885899593576618,156.5811903476715
5,0.11216391680834337,0.11795215774523114,0.9898096172287407,157.3274347782135
6,0.10856920545692755,0.11351934583535944,0.9907089224073411,155.95421934127808
7,0.10471369539341023,0.11792783817537714,0.9902245052231406,156.67737245559692
8,0.10636546621544929,0.11731876617986592,0.9894061431740196,155.48065876960754
9,0.10497019906193669,0.11789279432818466,0.9904692296740824,155.31644082069397
10,0.10789980150709896,0.114143599954733,0.9906783835840014,154.77112412452698
11,0.11138511940204511,0.1256244607096148,0.989099927212174,156.52445435523987
12,0.11118462047982243,0.119945615698414,0.9893933787300276,156.75960111618042
13,0.11096893781943469,0.1173377972353648,0.9907637920906451,155.90086722373962
14,0.1124449797103547,0.13641553979353233,0.9870578993436896,157.01366806030273
15,0.12390416003461645,0.14688571888466503,0.9850640539839267,156.51951694488525
16,0.12176971537855291,0.12202182814519111,0.9894588564068882,156.2757053375244
17,0.11138435731304884,0.11756108822983757,0.9904457265425678,156.1908140182495
18,0.11187575673444597,0.12883034259071946,0.9887294316014872,154.59140491485596
19,0.1190760834986166,0.11674378377751764,0.9908891493861655,154.43775177001953
20,0.11076413167414716,0.12022097859651235,0.9898654888991161,155.65667295455933
